id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
1282,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Strongly agree,Not applicable,Favor,89,Private,Married,Junior college,Far below average,Strong republican,Not applicable,Too little,Trump
1283,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,40,Private,Married,Bachelor,Average,"Ind,near dem",Not applicable,Too much,Not applicable
1284,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Strongly agree,Not applicable,Favor,46,Private,Married,High school,Far below average,Strong republican,Not applicable,About right,Trump
1285,Hardly any,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Disagree,Oppose,Favor,55,Private,Separated,High school,Far below average,"Ind,near rep",Not applicable,Too little,Trump
1286,Only some,Only some,Only some,A great deal,No,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Oppose,Not applicable,Private,Divorced,High school,Average,Independent,Not applicable,Don't know,Not applicable
1287,Only some,A great deal,Only some,A great deal,Yes,Yes,Not applicable,Disagree,Oppose,Oppose,45,Government,Married,Graduate,Above average,Strong democrat,Not applicable,Too much,Clinton
1288,Only some,Hardly any,Only some,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,Not applicable,Government,Never married,Bachelor,Average,Strong republican,Don't know,Not applicable,Trump
1289,Only some,A great deal,Hardly any,A great deal,Yes,No,Not applicable,Strongly disagree,Favor,Favor,20,Don't know,Divorced,Junior college,Average,Strong democrat,Too little,Not applicable,Clinton
1290,Hardly any,Only some,Hardly any,Only some,No,Not applicable,Disagree,Disagree,Not applicable,Oppose,20,Private,Married,High school,Don't know,"Ind,near dem",Not applicable,Don't know,Clinton
1291,A great deal,A great deal,Only some,Only some,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Government,Never married,Graduate,Average,Strong democrat,Not applicable,About right,Clinton
1292,Only some,Hardly any,Hardly any,Only some,Yes,Yes,Not applicable,Disagree,Oppose,Favor,40,Private,Never married,High school,Average,"Ind,near rep",Too much,Not applicable,Not applicable
1293,Only some,Only some,Hardly any,Only some,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,35,Government,Married,High school,Above average,Not str democrat,Too much,Not applicable,Clinton
1294,Only some,Only some,Hardly any,A great deal,No,Yes,Not applicable,Disagree,Favor,Favor,26,Government,Divorced,High school,Below average,"Ind,near dem",About right,Not applicable,Clinton
1295,Only some,Hardly any,Hardly any,Hardly any,No,Not applicable,Disagree,Agree,Not applicable,Favor,25,Private,Widowed,Lt high school,Below average,Strong democrat,Not applicable,Too little,Not applicable
1296,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Never married,High school,Below average,Independent,Not applicable,About right,Not applicable
1297,A great deal,Only some,Hardly any,Only some,No,No,Not applicable,Neither agree nor disagree,Favor,Oppose,Not applicable,Private,Never married,Junior college,Below average,"Ind,near dem",About right,Not applicable,Clinton
1298,Only some,Only some,Only some,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Oppose,Not applicable,Private,Widowed,High school,Below average,Not str democrat,Not applicable,About right,Clinton
1299,Only some,Only some,Only some,A great deal,Yes,No,Not applicable,Agree,Favor,Favor,40,Private,Never married,Lt high school,Average,Independent,Not applicable,About right,Clinton
1300,A great deal,Hardly any,Hardly any,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Don't know,Separated,Lt high school,Average,Independent,About right,Not applicable,Not applicable
