id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
605,Hardly any,Only some,Hardly any,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Oppose,Not applicable,Private,Never married,Bachelor,Average,Not str democrat,About right,Not applicable,Clinton
606,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Oppose,Favor,Not applicable,Private,Never married,High school,Far below average,Independent,Too little,Not applicable,Not applicable
607,Only some,Hardly any,Only some,Only some,No,Not applicable,Agree,Not applicable,Not applicable,Oppose,Not applicable,Private,Married,High school,Below average,Independent,Too much,Not applicable,Clinton
608,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,30,Private,Married,High school,Average,Not str democrat,Not applicable,About right,Not applicable
609,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Agree,Favor,Oppose,Not applicable,Private,Married,Lt high school,Average,Strong republican,Too much,Not applicable,Not applicable
610,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Favor,Favor,45,Private,Never married,Lt high school,Don't know,"Ind,near rep",About right,Not applicable,Not applicable
611,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Oppose,Favor,30,Private,Married,Lt high school,Far below average,Strong republican,Not applicable,About right,Not applicable
612,A great deal,A great deal,Hardly any,Hardly any,No,No,Not applicable,Strongly agree,Favor,Oppose,32,Private,Divorced,Lt high school,Far below average,Independent,Too little,Not applicable,Not applicable
613,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,70,Private,Divorced,Lt high school,Below average,Independent,Too much,Not applicable,Not applicable
614,A great deal,Only some,Only some,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Not applicable,Married,High school,Average,Independent,Too little,Not applicable,Not applicable
615,A great deal,A great deal,A great deal,Only some,No,Not applicable,Agree,Not applicable,Not applicable,Oppose,Not applicable,Private,Never married,Lt high school,Below average,Independent,About right,Not applicable,Not applicable
616,A great deal,Only some,Only some,A great deal,No,No,Not applicable,Agree,Favor,Oppose,Not applicable,Private,Married,Lt high school,Far below average,Not str democrat,Too much,Not applicable,Not applicable
617,A great deal,Only some,Hardly any,Hardly any,No,No,Not applicable,Neither agree nor disagree,Favor,Favor,Not applicable,Not applicable,Never married,High school,Average,Independent,Not applicable,About right,Not applicable
618,A great deal,Only some,A great deal,A great deal,No,Not applicable,Strongly agree,Not applicable,Not applicable,Favor,Not applicable,Not applicable,Married,High school,Above average,"Ind,near rep",About right,Not applicable,Not applicable
619,A great deal,Hardly any,Hardly any,Only some,Yes,No,Not applicable,Agree,Favor,Favor,Not applicable,Government,Married,Bachelor,Average,"Ind,near dem",About right,Not applicable,Not applicable
620,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Agree,Not applicable,Oppose,Not applicable,Private,Widowed,High school,Average,Strong republican,Not applicable,About right,Trump
621,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Married,Bachelor,Average,Not str republican,Too much,Not applicable,Trump
622,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,13,Private,Divorced,High school,Average,"Ind,near dem",Not applicable,Too little,Clinton
623,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Agree,Not applicable,Favor,60,Government,Never married,Graduate,Above average,"Ind,near dem",Not applicable,About right,Other candidate (specify)
624,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,53,Private,Married,High school,Above average,"Ind,near dem",Not applicable,Too much,Not applicable
625,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Agree,Not applicable,Oppose,Favor,Not applicable,Private,Married,Graduate,Average,"Ind,near rep",Too much,Not applicable,Trump
626,Only some,Only some,Hardly any,A great deal,Yes,No,Not applicable,Neither agree nor disagree,Favor,Favor,72,Private,Separated,High school,Average,"Ind,near dem",Not applicable,About right,Clinton
627,A great deal,Only some,A great deal,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,Not applicable,Private,Married,Graduate,Average,Not str republican,About right,Not applicable,No answer
628,Hardly any,Hardly any,Hardly any,Only some,No,No,Not applicable,Disagree,Favor,Oppose,50,Private,Never married,Graduate,Average,"Ind,near dem",Too much,Not applicable,Not applicable
629,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Private,Separated,Bachelor,Average,Strong republican,About right,Not applicable,Trump
630,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,Agree,Not applicable,Favor,Don't know,30,Private,Divorced,Bachelor,Don't know,Independent,Not applicable,Don't know,Not applicable
631,Only some,Only some,Only some,Only some,No,No,Not applicable,No answer,Don't know,Don't know,25,Private,Married,Graduate,No answer,No answer,Too little,Not applicable,No answer
632,A great deal,Hardly any,Hardly any,A great deal,Yes,Not applicable,Disagree,Disagree,Not applicable,Don't know,Not applicable,Private,Never married,High school,Average,Not str democrat,Not applicable,Don't know,Not applicable
633,A great deal,Only some,A great deal,A great deal,Yes,Yes,Not applicable,Strongly disagree,Favor,Favor,40,Private,Never married,High school,Average,Strong democrat,Not applicable,Too much,Clinton
634,Only some,Hardly any,Hardly any,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Never married,High school,Above average,Not str democrat,About right,Not applicable,Clinton
635,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,40,Government,Divorced,Graduate,Above average,Strong democrat,Not applicable,Too much,Clinton
636,A great deal,Hardly any,Only some,Only some,No,No,Not applicable,Disagree,Oppose,Favor,32,Private,Separated,High school,Average,"Ind,near dem",Too little,Not applicable,Not applicable
637,A great deal,Only some,Only some,Only some,No,Not applicable,Disagree,Strongly agree,Not applicable,Favor,40,Private,Married,High school,Below average,"Ind,near dem",Not applicable,About right,Not applicable
638,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Oppose,Oppose,Not applicable,Private,Married,High school,Average,"Ind,near dem",About right,Not applicable,Clinton
639,Hardly any,Hardly any,Only some,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,No answer,36,Private,Never married,High school,Far below average,Strong democrat,About right,Not applicable,Clinton
640,Hardly any,Hardly any,Only some,A great deal,No,Not applicable,Disagree,Disagree,Not applicable,Favor,15,Private,Married,High school,Average,Not str republican,Not applicable,Too little,Not applicable
641,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,Not applicable,Government,Married,Bachelor,Average,Other party,Not applicable,About right,Other candidate (specify)
642,Hardly any,Only some,Only some,A great deal,No,Yes,Not applicable,Neither agree nor disagree,Oppose,Favor,50,Private,Divorced,High school,Average,"Ind,near dem",About right,Not applicable,Clinton
643,Hardly any,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Favor,75,Private,Married,Junior college,Below average,Strong republican,Not applicable,Too little,Trump
644,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Oppose,40,Government,Married,High school,Average,Independent,About right,Not applicable,Not applicable
645,Hardly any,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Neither agree nor disagree,Favor,Favor,Not applicable,Private,Separated,Junior college,Average,Independent,Not applicable,Too little,Clinton
646,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,40,Private,Divorced,Graduate,Far below average,Not str republican,Too much,Not applicable,Trump
647,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly agree,Not applicable,Favor,Favor,52,Private,Married,High school,Average,Strong republican,Not applicable,Too little,Trump
648,A great deal,Only some,Don't know,A great deal,Yes,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Don't know,35,Private,Married,Lt high school,Average,Independent,Not applicable,Too little,Not applicable
649,A great deal,Only some,Only some,Only some,No,Not applicable,Strongly agree,Not applicable,Not applicable,No answer,Not applicable,No answer,Never married,Lt high school,Far below average,"Ind,near dem",About right,Not applicable,Not applicable
650,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Oppose,Favor,Not applicable,Private,Never married,Lt high school,Below average,"Ind,near dem",Not applicable,About right,Not applicable
651,Only some,Only some,Only some,Only some,Yes,Not applicable,Strongly agree,Strongly agree,Not applicable,Oppose,Not applicable,Government,Divorced,Lt high school,Below average,Not str republican,Not applicable,About right,Clinton
652,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,30,Government,Never married,High school,Average,Independent,About right,Not applicable,Not applicable
653,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,38,Private,Never married,Graduate,Average,Not str democrat,Not applicable,Too much,Clinton
654,Hardly any,Hardly any,Hardly any,Hardly any,Yes,No,Not applicable,Agree,Oppose,Oppose,25,Private,Never married,Bachelor,Above average,"Ind,near dem",Not applicable,Too much,Other candidate (specify)
655,A great deal,Hardly any,Only some,Only some,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,45,Private,Never married,High school,Below average,Strong democrat,About right,Not applicable,Not applicable
656,Only some,Only some,Only some,Only some,Yes,Yes,Not applicable,Neither agree nor disagree,Oppose,Favor,Not applicable,Government,Married,Bachelor,Average,Independent,Too much,Not applicable,Not applicable
657,Only some,Hardly any,Hardly any,Only some,Yes,Not applicable,Strongly disagree,Disagree,Not applicable,Oppose,52,Private,Married,High school,Far below average,Not str democrat,Not applicable,Too much,Clinton
658,Hardly any,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Disagree,Oppose,Oppose,40,Private,Married,High school,Average,Independent,Not applicable,Too much,Trump
659,Only some,Hardly any,Only some,Hardly any,Yes,Not applicable,Disagree,Not applicable,Not applicable,Don't know,No answer,Private,Never married,High school,Below average,Independent,Too little,Not applicable,Other candidate (specify)
660,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,30,Private,Divorced,High school,Average,Strong democrat,Not applicable,Too much,Clinton
661,A great deal,A great deal,Only some,A great deal,No,No,Not applicable,Neither agree nor disagree,Oppose,Oppose,Not applicable,Private,Never married,High school,Average,"Ind,near dem",Too little,Not applicable,Not applicable
662,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,60,Private,Never married,High school,Below average,"Ind,near dem",About right,Not applicable,Clinton
663,Only some,Only some,Only some,A great deal,No,No,Not applicable,Agree,Favor,Oppose,40,Private,Married,High school,Average,Independent,Not applicable,About right,Clinton
664,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Oppose,Favor,28,Private,Married,High school,Far below average,"Ind,near rep",Too much,Not applicable,Trump
665,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,20,Private,Married,Bachelor,Below average,Strong democrat,Not applicable,About right,Clinton
666,Hardly any,Only some,Hardly any,Only some,Yes,Yes,Not applicable,Strongly agree,Favor,Favor,40,Private,Married,Bachelor,Below average,Not str republican,About right,Not applicable,Clinton
667,Only some,Hardly any,A great deal,A great deal,No,Not applicable,Disagree,Neither agree nor disagree,Not applicable,Favor,89,Government,Never married,Junior college,Below average,"Ind,near rep",Not applicable,Too little,Trump
668,Only some,Hardly any,Only some,Only some,Yes,Yes,Not applicable,Strongly agree,Favor,Oppose,40,Government,Never married,Bachelor,Average,Not str democrat,Not applicable,About right,Clinton
669,Hardly any,Only some,Hardly any,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Oppose,Not applicable,Private,Married,High school,Average,Strong democrat,Too little,Not applicable,Clinton
670,A great deal,A great deal,A great deal,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Favor,55,Don't know,Never married,High school,Above average,Strong republican,Too little,Not applicable,Clinton
671,Only some,Only some,Hardly any,A great deal,No,Not applicable,Disagree,Disagree,Not applicable,Oppose,16,Private,Married,Bachelor,Below average,Strong democrat,Not applicable,About right,Clinton
672,Hardly any,Hardly any,Hardly any,A great deal,No,Yes,Not applicable,Neither agree nor disagree,Oppose,Favor,20,Private,Married,High school,Far below average,Other party,Not applicable,Too little,Trump
673,Only some,Only some,Only some,Only some,Yes,Not applicable,Agree,Not applicable,Not applicable,Oppose,20,Private,Divorced,High school,Above average,Independent,Don't know,Not applicable,Not applicable
674,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Private,Never married,High school,Average,Not str democrat,Not applicable,Too much,Not applicable
675,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Favor,Favor,27,Government,Married,Junior college,Above average,Strong republican,Too much,Not applicable,Trump
676,Hardly any,Hardly any,Hardly any,Only some,No,Yes,Not applicable,Agree,Favor,Favor,40,Private,Never married,High school,Below average,Other party,Too much,Not applicable,Other candidate (specify)
677,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Oppose,Oppose,48,Government,Divorced,High school,Below average,Not str democrat,Too little,Not applicable,Clinton
678,Only some,Only some,Hardly any,Only some,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,Not applicable,Private,Married,High school,Below average,Strong democrat,Too little,Not applicable,Clinton
679,Only some,Hardly any,Hardly any,A great deal,Yes,Not applicable,Disagree,Strongly agree,Not applicable,Favor,40,Private,Married,High school,Average,No answer,Not applicable,Too little,Not applicable
680,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Not applicable,Divorced,Junior college,Above average,Independent,About right,Not applicable,Didn't vote for president
681,Hardly any,Hardly any,Only some,A great deal,Yes,No,Not applicable,Disagree,Favor,Oppose,40,Private,Married,High school,Above average,Strong democrat,Not applicable,About right,Clinton
682,A great deal,Only some,Only some,Only some,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Government,Married,Bachelor,Average,Strong democrat,Don't know,Not applicable,Clinton
683,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,37,Government,Married,Junior college,Far below average,"Ind,near rep",Not applicable,Too little,Clinton
684,A great deal,Hardly any,Only some,Hardly any,No,Not applicable,Agree,Agree,Not applicable,Don't know,Not applicable,Not applicable,Widowed,Lt high school,Below average,Independent,Not applicable,About right,Not applicable
685,Only some,Only some,Only some,A great deal,No,Yes,Not applicable,Disagree,Favor,Favor,40,Private,Married,High school,Average,"Ind,near rep",Not applicable,Too little,Not applicable
686,A great deal,Only some,Hardly any,A great deal,Yes,Yes,Not applicable,Strongly agree,Favor,Favor,Not applicable,Private,Never married,High school,Below average,Independent,Too little,Not applicable,Clinton
687,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly agree,Not applicable,Oppose,Favor,Not applicable,Private,Married,Lt high school,Far below average,Independent,About right,Not applicable,Not applicable
688,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,20,Government,Married,High school,Average,"Ind,near dem",About right,Not applicable,Not applicable
689,Only some,Hardly any,Hardly any,A great deal,Yes,No,Not applicable,Disagree,Oppose,Oppose,32,Private,Never married,High school,Far below average,Independent,Not applicable,About right,Not applicable
690,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Agree,Not applicable,Favor,Favor,Not applicable,Private,Widowed,High school,Below average,Strong democrat,Too little,Not applicable,Clinton
691,Only some,Only some,Hardly any,A great deal,No,No,Not applicable,Strongly agree,Favor,Favor,30,Private,Married,High school,Below average,Not str democrat,Not applicable,About right,Not applicable
692,Hardly any,Hardly any,Hardly any,Only some,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,37,Private,Divorced,High school,Far below average,Not str democrat,Don't know,Not applicable,Clinton
693,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,30,Private,Divorced,Graduate,Below average,Not str democrat,Not applicable,About right,Not applicable
694,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Not applicable,Widowed,High school,Below average,Strong democrat,About right,Not applicable,Not applicable
695,Only some,Only some,A great deal,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,50,Private,Married,High school,Far below average,"Ind,near rep",About right,Not applicable,Not applicable
696,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,60,Private,Never married,High school,Below average,Independent,Not applicable,Don't know,Not applicable
697,A great deal,Hardly any,A great deal,A great deal,No,Not applicable,Strongly disagree,Cant choose,Not applicable,Favor,Not applicable,Private,Divorced,Lt high school,Far below average,"Ind,near rep",Not applicable,Too little,Trump
698,Only some,A great deal,Don't know,A great deal,Yes,No,Not applicable,Cant choose,Favor,Don't know,Not applicable,Private,Divorced,High school,Below average,Independent,Not applicable,Don't know,Not applicable
699,Only some,Only some,Hardly any,Only some,No,No,Not applicable,Agree,Favor,Oppose,20,Private,Divorced,Bachelor,Average,Independent,About right,Not applicable,Not applicable
700,A great deal,Only some,Only some,A great deal,No,No,Not applicable,Agree,Favor,Favor,Not applicable,Private,Widowed,Lt high school,Below average,Strong democrat,Not applicable,Too little,Clinton
701,Only some,Only some,Only some,A great deal,No,Not applicable,Strongly agree,Not applicable,Not applicable,Oppose,40,Government,Married,High school,Below average,Independent,About right,Not applicable,Not applicable
702,Only some,Only some,Hardly any,A great deal,Yes,No,Not applicable,Strongly agree,Favor,Favor,Not applicable,Government,Divorced,High school,Below average,Strong democrat,Too much,Not applicable,Clinton
703,Only some,A great deal,Hardly any,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,Not applicable,Private,Divorced,High school,Below average,Strong democrat,Not applicable,Too little,Clinton
704,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,30,Private,Never married,Lt high school,Far below average,Not str democrat,Not applicable,About right,Not applicable
705,A great deal,Hardly any,Only some,A great deal,Yes,Yes,Not applicable,Strongly disagree,Favor,Oppose,Not applicable,Private,Married,Junior college,Average,Not str republican,Too much,Not applicable,Trump
706,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,50,Private,Divorced,High school,Average,"Ind,near dem",Not applicable,Too much,Not applicable
707,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Strongly agree,Strongly agree,Not applicable,Favor,40,Private,Married,High school,Above average,Strong republican,Not applicable,About right,Trump
708,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,40,Private,Never married,High school,Below average,Independent,Not applicable,About right,Not applicable
709,Only some,A great deal,Hardly any,Only some,No,Not applicable,Strongly disagree,Disagree,Not applicable,Oppose,Not applicable,Government,Divorced,High school,Don't know,Strong democrat,Not applicable,About right,Clinton
710,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Oppose,Favor,Not applicable,Private,Widowed,High school,Below average,Other party,Too little,Not applicable,Clinton
711,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly agree,Not applicable,Oppose,Don't know,22,Private,Never married,Lt high school,Below average,Independent,About right,Not applicable,Not applicable
712,Only some,Hardly any,Only some,A great deal,Yes,No,Not applicable,Agree,Favor,Favor,Not applicable,Private,Never married,Bachelor,Below average,"Ind,near dem",Not applicable,Too little,Not applicable
713,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly agree,Not applicable,Favor,Oppose,44,Private,Divorced,Graduate,Far below average,Not str republican,Too little,Not applicable,Not applicable
714,A great deal,Hardly any,Only some,A great deal,Yes,No,Not applicable,Cant choose,Favor,Favor,Not applicable,Private,Divorced,High school,Average,Strong democrat,Not applicable,About right,Clinton
715,A great deal,Hardly any,Hardly any,Hardly any,No,No,Not applicable,Strongly agree,Favor,Oppose,35,Private,Married,Lt high school,Far below average,Strong democrat,Too little,Not applicable,Clinton
716,Only some,Hardly any,Hardly any,A great deal,No,No,Not applicable,Disagree,Favor,Don't know,40,Private,Married,Graduate,Above average,Not str republican,Not applicable,Too much,Trump
717,A great deal,Only some,Only some,Hardly any,No,No,Not applicable,Disagree,Favor,Oppose,Not applicable,Not applicable,Never married,High school,Above average,Not str democrat,Too little,Not applicable,Not applicable
718,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Disagree,Disagree,Not applicable,Oppose,Not applicable,Private,Married,Graduate,Far above average,Independent,Not applicable,Too much,Other candidate (specify)
719,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,50,Private,Married,Graduate,Average,Strong democrat,Too little,Not applicable,Clinton
720,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,40,Government,Married,Graduate,Above average,Not str democrat,Not applicable,About right,Clinton
721,Hardly any,Only some,Only some,A great deal,No,Yes,Not applicable,Disagree,Favor,Favor,No answer,Private,Never married,Lt high school,Above average,Not str republican,Don't know,Not applicable,Not applicable
722,Hardly any,Only some,Hardly any,Only some,No,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Oppose,45,Private,Divorced,Bachelor,Above average,Not str democrat,Not applicable,Too little,Clinton
723,Hardly any,Only some,Only some,Only some,No,No,Not applicable,Neither agree nor disagree,Favor,Oppose,Not applicable,Private,Married,High school,Average,"Ind,near dem",Not applicable,Too little,Clinton
724,Only some,Hardly any,Hardly any,Only some,Yes,Yes,Not applicable,Agree,Oppose,Oppose,Not applicable,Don't know,Never married,Bachelor,Average,Other party,About right,Not applicable,Not applicable
725,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Government,Never married,High school,Average,Strong democrat,Too little,Not applicable,Clinton
726,A great deal,Only some,Only some,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,36,Private,Widowed,Junior college,Above average,Strong democrat,Too little,Not applicable,Clinton
727,A great deal,Only some,Only some,Only some,Yes,Not applicable,Disagree,Disagree,Not applicable,Oppose,53,Private,Divorced,High school,Average,Not str democrat,Not applicable,About right,Not applicable
728,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Oppose,20,Private,Never married,High school,Below average,Not str democrat,Too little,Not applicable,Clinton
729,A great deal,Only some,Only some,A great deal,Yes,No,Not applicable,Agree,Oppose,Favor,40,Private,Divorced,High school,Average,"Ind,near dem",Too much,Not applicable,Clinton
730,Only some,Hardly any,Hardly any,Hardly any,Yes,Not applicable,Disagree,Agree,Not applicable,Favor,40,Private,Never married,High school,Below average,Independent,Not applicable,Too much,Not applicable
731,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,47,Private,Married,Junior college,Average,Not str democrat,Too much,Not applicable,Not applicable
732,A great deal,Only some,Only some,Only some,No,No,Not applicable,Agree,Favor,Favor,40,Private,Never married,High school,Average,Strong democrat,Not applicable,Too little,Not applicable
733,Only some,Only some,Hardly any,Hardly any,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Government,Married,Graduate,Above average,Strong democrat,Too little,Not applicable,Clinton
734,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,57,Private,Married,Lt high school,Average,"Ind,near rep",Not applicable,About right,Not applicable
735,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Oppose,42,Government,Never married,High school,Average,Not str democrat,About right,Not applicable,Clinton
736,Only some,Hardly any,Only some,A great deal,No,Yes,Not applicable,Agree,Favor,Favor,60,Government,Married,High school,Average,"Ind,near dem",Not applicable,Too little,Clinton
737,Only some,Hardly any,Hardly any,Only some,No,Yes,Not applicable,Disagree,Oppose,Don't know,Not applicable,Private,Married,Bachelor,Above average,Strong republican,Too much,Not applicable,Trump
738,Only some,Only some,A great deal,A great deal,No,Yes,Not applicable,Agree,Favor,Favor,35,Private,Never married,High school,Above average,Not str republican,Not applicable,About right,Not applicable
739,Only some,A great deal,Only some,A great deal,Yes,No,Not applicable,Disagree,Favor,Oppose,40,Private,Married,High school,Below average,Strong democrat,Too little,Not applicable,Clinton
740,Only some,Only some,Don't know,Don't know,No,Not applicable,Agree,Not applicable,Not applicable,Oppose,20,Private,Divorced,Graduate,Average,Independent,About right,Not applicable,Not applicable
741,Only some,Only some,Only some,Only some,Yes,No,Not applicable,Disagree,Favor,Oppose,40,Private,Married,High school,Below average,"Ind,near dem",About right,Not applicable,Other candidate (specify)
742,Only some,Only some,Hardly any,A great deal,No,Yes,Not applicable,Agree,Favor,Favor,40,Government,Never married,Bachelor,Average,Strong democrat,Not applicable,Too much,Clinton
743,Only some,Only some,Only some,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,42,Private,Married,Lt high school,Far below average,Independent,Too little,Not applicable,Clinton
744,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Don't know,37,Private,Widowed,High school,Above average,"Ind,near rep",About right,Not applicable,Trump
745,A great deal,Only some,Only some,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Favor,33,Don't know,Never married,High school,Above average,Not str republican,Not applicable,About right,Not applicable
746,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Oppose,50,Private,Married,High school,Below average,Strong democrat,Not applicable,Too much,Clinton
747,Hardly any,Only some,Hardly any,A great deal,Yes,Not applicable,Disagree,Disagree,Not applicable,Favor,14,Private,Widowed,Bachelor,Average,Strong democrat,Not applicable,About right,Clinton
748,A great deal,Hardly any,Only some,A great deal,No,No,Not applicable,Strongly agree,Favor,Oppose,20,Private,Never married,High school,Below average,Not str democrat,Not applicable,About right,Clinton
749,Only some,Hardly any,Hardly any,A great deal,No,No,Not applicable,Strongly agree,Oppose,Oppose,60,Government,Never married,High school,Below average,Strong democrat,About right,Not applicable,Not applicable
750,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Oppose,Not applicable,Private,Never married,High school,Below average,Strong democrat,Too much,Not applicable,Clinton
751,Only some,Only some,Hardly any,Only some,No,Yes,Not applicable,Agree,Favor,Oppose,Not applicable,Private,Married,High school,Average,"Ind,near dem",About right,Not applicable,Clinton
752,Only some,A great deal,Only some,A great deal,No,Not applicable,Strongly disagree,Strongly disagree,Not applicable,Oppose,48,Private,Divorced,High school,Below average,Strong democrat,Not applicable,Too much,Clinton
753,A great deal,Hardly any,A great deal,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Never married,Lt high school,Average,"Ind,near dem",Too little,Not applicable,Clinton
754,Only some,Hardly any,A great deal,A great deal,No,No,Not applicable,Disagree,Oppose,Favor,40,Private,Never married,High school,Average,Not str democrat,About right,Not applicable,Not applicable
755,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,40,Private,Never married,High school,Above average,Other party,About right,Not applicable,Other candidate (specify)
